transaction_id,user_id,date,amount,merchant,type,status,fee
2f804166-dd0e-4420-8966-99f9a65c351b,9e0bc14c-126d-4c04-b2aa-a354778d32a4,2026-06-26 05:18:10,600.83,Spotify,Bill payment,Successful,9.01
556f117c-419a-4e96-8be1-241b45e0822a,771adcb8-e60d-4d6e-b958-6d750566bae0,2026-05-27 04:08:25,1299.57,Self/Peer,Deposit,Successful,0.0
d3f40e8c-45cd-4092-b607-691c1dee6f36,771adcb8-e60d-4d6e-b958-6d750566bae0,2026-06-09 16:07:34,2065.71,Jumia,Bill payment,Successful,30.99
99845984-8933-480f-9b34-dcaca38bc706,771adcb8-e60d-4d6e-b958-6d750566bae0,2026-06-20 14:08:24,2038.6,Uber,Card payment,Successful,0.0
27bf1ca2-d60c-483e-a393-415ef77f47dd,919566ff-0392-4a6a-b234-e16d2b0da26b,2026-05-10 10:51:08,4740.05,Self/Peer,Savings,Successful,0.0
a9196e0e-e560-4535-bfdc-46f2b4f490d8,dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-03-11 17:13:22,3192.4,Self/Peer,Deposit,Successful,0.0
5bd1414d-af63-4ac2-9795-5f7b02a38459,dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-03-13 18:13:55,1464.54,Self/Peer,Airtime,Successful,0.0
b1484bb5-4c18-4a49-b15e-c24cb0b720d3,dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-03-29 05:13:05,4056.74,MTN,Card payment,Successful,0.0
a8a73fc9-a195-4727-b6b0-7fb1e6b2d8c4,dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-04-10 23:13:52,786.89,Jumia,Card payment,Successful,0.0
6c6dc574-b1d0-4652-a025-faea855e4511,dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-05-10 09:14:33,49272.79,Self/Peer,Transfer,Successful,739.09
596decb2-c1c1-410f-af4f-f6d604d6c2b8,dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-06-12 23:14:07,380.11,Airtel,Bill payment,Successful,5.7
14df4483-e0c5-49a0-92cf-cc0ac6f6fb97,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-02-06 19:33:46,749.04,Spotify,Bill payment,Successful,11.24
4f1a3ffc-413c-4af8-af26-0fc4c17df2cb,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-02-11 06:34:20,3547.35,Self/Peer,Savings,Successful,0.0
0f73f922-22fb-41b5-be07-84d8586697d2,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-03-10 15:33:28,3616.3,Self/Peer,Airtime,Successful,0.0
23ab92b2-7f9f-4431-90ba-3bb258104ae3,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-03-16 07:33:37,5068.77,Self/Peer,Transfer,Successful,76.03
407a98bc-e482-4764-b47d-cabd24cf7fcd,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-03-30 05:34:11,4529.25,Self/Peer,Deposit,Successful,0.0
3bbbff8a-4d6b-4c2e-9e70-fe02bcb88bd9,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-04-19 13:34:44,4336.57,Self/Peer,Airtime,Successful,0.0
97665d6f-6e6d-4529-92a7-adfff5507ef4,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-04-23 02:33:54,3933.69,Jumia,Bill payment,Successful,59.01
311f5380-f6e4-4638-8c1f-98ab3bef1868,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-05-05 08:33:31,1813.33,Jumia,Card payment,Successful,0.0
362c8bdd-d0eb-4f8f-86b4-2001063b4003,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-05-12 07:34:28,2596.09,Self/Peer,Deposit,Successful,0.0
1abeb34b-edab-4e73-b943-3c73d5d10aba,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-05-21 17:33:35,974.98,Netflix,Bill payment,Successful,14.62
8d0000d3-5863-4474-b87b-88a01dbe6ce9,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-06-02 13:34:45,35584.87,Self/Peer,Transfer,Failed,533.77
451de754-0339-4935-9d12-384017854584,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-06-16 21:34:21,4611.78,Self/Peer,Deposit,Successful,0.0
8f741351-4768-4cb8-9e2f-49487dc3cf88,3fa90a0e-8482-4176-8708-230ef3ff6015,2026-06-23 18:34:27,2584.9,MTN,Bill payment,Successful,38.77
