account_id,user_id,account_type,account_created,kyc_level,status
04841d67-984f-421a-9818-03f537e99e0a,9e0bc14c-126d-4c04-b2aa-a354778d32a4,Savings,2026-06-13 05:17:12,Tier 1,Active
432b0d6d-249a-46b2-8c3e-ba806870c689,771adcb8-e60d-4d6e-b958-6d750566bae0,Checking,2026-05-23 11:07:16,Tier 2,Active
58e6a55a-bfb0-4532-a6e0-b394cc805405,919566ff-0392-4a6a-b234-e16d2b0da26b,Savings,2026-05-10 02:50:48,Tier 1,Active
b44c8166-a854-43da-b524-5f866b2b6312,dfff4197-1890-4b2e-a96d-d33dd470bbfb,Savings,2026-03-10 22:12:43,Tier 1,Active
03611aa3-87c6-40a4-94db-d1f4571b081d,3fa90a0e-8482-4176-8708-230ef3ff6015,Savings,2026-02-02 16:32:52,Tier 1,Active
15f95639-c012-4479-b976-f0cc238b6980,57a1dd1d-e56b-4eec-aeba-2ebf67c2a7d3,Savings,2026-06-25 05:19:39,Tier 3,Active
84f2b1d8-332c-41c1-ac5b-7d376b327326,f3354e1f-3b3e-4f8a-a697-f2a68f3a460c,Savings,2026-01-07 11:40:25,Tier 3,Active
1543dd43-4a2c-432c-ade5-b17da7aed0dd,44b817ec-bf87-46c2-9f66-fdb292c275cc,Checking,2026-02-03 14:38:20,Tier 2,Active
65775f84-b837-4c78-8192-fd7e7a8ff83a,bf458de4-1efe-479d-94f8-a4385e976076,Checking,2026-02-06 05:38:36,Tier 3,Active
d897252e-4e5f-4280-84a4-539acff77308,24409df5-bf7f-400d-9011-c9b00d7b0898,Checking,2026-06-15 16:25:58,Tier 1,Active
17934b74-f4c3-4b67-be07-a3ef91403759,32b4b3da-9720-4d5e-9f17-d488b5ba9cc3,Checking,2026-02-21 13:52:32,Tier 3,Active
9d57b908-2d6f-42bb-a99e-6dd61289fff0,89d0f33f-5731-4059-b85f-03fa4dedcd0f,Checking,2026-06-04 06:22:28,Tier 3,Active
b133fe33-6e5a-4988-9812-f5294137f101,a27e9190-f0b2-42fa-bf58-6daed306df09,Savings,2026-06-03 09:31:58,Tier 1,Active
78bb9e61-18fb-490b-bbf2-54b03151d81e,d5c15305-913b-469e-b48c-7f570486483d,Savings,2026-04-23 20:43:48,Tier 1,Active
a4dafeef-a85c-4185-94cc-a8c677ed39bd,0518311e-bf0a-451b-8156-8b6e5af8e631,Savings,2026-06-22 01:12:15,Tier 2,Active
b408ceeb-0751-47f3-b1a2-74bc79875d31,167091dd-3e89-4e1b-a589-3e02b71adbd0,Savings,2026-01-20 19:15:44,Tier 1,Active
cad790de-17ed-4d6d-9243-149b651a8a03,6f325da6-e70d-4f13-a183-0db9eee10de0,Savings,2026-05-25 07:23:16,Tier 2,Active
58f63859-70d9-40d0-9d55-a1c73b65c23a,77f71814-f7ce-4a3e-8275-0fd172ef967b,Checking,2026-04-28 16:58:23,Tier 1,Active
