user_id,signup_date,country,device_type,os,referral_source
9e0bc14c-126d-4c04-b2aa-a354778d32a4,2026-06-13 03:01:00,Kenya,Samsung Galaxy S22,Android,Instagram
8c6e5339-9d30-440b-ae1b-ec5e5a76613f,2026-06-04 08:51:00,Nigeria,Infinix Hot 30,Android,Influencer
771adcb8-e60d-4d6e-b958-6d750566bae0,2026-05-22 09:53:00,Kenya,Redmi Note 12,Android,Organic
9a81d5e2-b9d6-4041-817c-b608d955dbdb,2026-05-30 13:57:00,Kenya,Redmi Note 12,Android,Friend Referral
d38f0d3b-3fdb-4bbf-aa3c-63d007b0e941,2026-02-05 16:31:00,Nigeria,iPhone 14,iOS,Google Ads
f0038443-b3e6-4288-b12d-d93ba3f637f3,2026-06-02 02:24:00,Ghana,Infinix Hot 30,Android,Organic
7c4d39f1-e269-4c77-9090-2fe6ba52e707,2026-03-10 20:21:00,Nigeria,Tecno Camon 20,Android,Instagram
919566ff-0392-4a6a-b234-e16d2b0da26b,2026-05-09 05:32:00,Nigeria,Samsung Galaxy A54,Android,Influencer
dfff4197-1890-4b2e-a96d-d33dd470bbfb,2026-03-09 16:55:00,Kenya,Samsung Galaxy S22,Android,Friend Referral
83923f2b-52eb-4e77-b230-355bf4d33532,2026-02-10 01:32:00,Nigeria,iPhone 14,iOS,Facebook Ads
3fa90a0e-8482-4176-8708-230ef3ff6015,2026-01-31 18:15:00,Kenya,iPhone 13,iOS,Organic
6119341c-6aff-4f52-a537-4b8f1b13bafd,2026-06-28 09:35:00,Nigeria,Tecno Camon 20,Android,Facebook Ads
57a1dd1d-e56b-4eec-aeba-2ebf67c2a7d3,2026-06-23 23:57:00,Nigeria,Samsung Galaxy A54,Android,Organic
f3354e1f-3b3e-4f8a-a697-f2a68f3a460c,2026-01-07 01:15:00,Ghana,iPhone 14,iOS,Organic
44b817ec-bf87-46c2-9f66-fdb292c275cc,2026-02-01 14:08:00,Ghana,Redmi Note 12,Android,Influencer
bf458de4-1efe-479d-94f8-a4385e976076,2026-02-05 04:14:00,Ghana,iPhone 15,iOS,Influencer
24409df5-bf7f-400d-9011-c9b00d7b0898,2026-06-14 13:08:00,Ghana,iPhone 13,iOS,Facebook Ads
d01d36aa-7a6d-443b-9517-b78f7180d3d9,2026-03-21 03:37:00,Nigeria,Tecno Camon 20,Android,Instagram
32b4b3da-9720-4d5e-9f17-d488b5ba9cc3,2026-02-20 02:37:00,Kenya,Samsung Galaxy S22,Android,Influencer
89d0f33f-5731-4059-b85f-03fa4dedcd0f,2026-06-02 09:06:00,Nigeria,Samsung Galaxy S22,Android,Instagram
a27e9190-f0b2-42fa-bf58-6daed306df09,2026-06-02 19:14:00,Kenya,Infinix Hot 30,Android,Friend Referral
d5c15305-913b-469e-b48c-7f570486483d,2026-04-23 03:29:00,Kenya,Tecno Camon 20,Android,Instagram
0518311e-bf0a-451b-8156-8b6e5af8e631,2026-06-21 03:54:00,Nigeria,Tecno Camon 20,Android,Instagram
a32b1bff-2275-45e0-a5d3-c8cab4b0c201,2026-05-13 11:39:00,Ghana,Infinix Hot 30,Android,Influencer
ece18f39-320b-44d6-abec-b6b0c2602b76,2026-01-08 20:38:00,Nigeria,iPhone 15,iOS,Influencer
9a17267a-0d34-4b15-a957-582fbaf8e5b8,2026-02-09 15:59:00,Kenya,Samsung Galaxy A54,Android,Instagram
c79623d4-3340-4351-a6c1-b17353980001,2026-04-27 17:09:00,Ghana,iPhone 15,iOS,Facebook Ads
be717ab4-bef6-4c81-8688-1670b6d9ff09,2026-03-29 16:17:00,Nigeria,Samsung Galaxy A54,Android,Instagram
3c6011c6-e10d-4419-a371-8f4763a6b064,2026-03-30 10:35:00,Kenya,Infinix Hot 30,Android,Friend Referral
74e3deea-db35-4fbb-af80-4681f4c0b47e,2026-05-27 12:14:00,Ghana,Redmi Note 12,Android,Google Ads
949a1e1b-7415-45bc-9d97-0736a45a7968,2026-04-09 21:50:00,Kenya,Infinix Hot 30,Android,Facebook Ads
f58e6224-90d5-404e-bb64-b1ebbe490308,2026-01-26 14:06:00,Kenya,iPhone 13,iOS,Friend Referral
167091dd-3e89-4e1b-a589-3e02b71adbd0,2026-01-20 15:50:00,Ghana,Tecno Camon 20,Android,Instagram
8315a619-8839-49b4-9857-50663c5ce906,2026-05-19 11:33:00,Kenya,iPhone 15,iOS,Instagram
ae582156-e74c-4834-b6b6-c6ce9fb199e3,2026-05-04 09:47:00,Ghana,Infinix Hot 30,Android,Google Ads
6f325da6-e70d-4f13-a183-0db9eee10de0,2026-05-23 11:05:00,Ghana,Samsung Galaxy A54,Android,Google Ads
e454db08-42b1-479d-b10e-db374c80e278,2026-06-17 03:53:00,Ghana,Tecno Camon 20,Android,Organic
f5fb7587-ef1c-41b5-a06a-f0d6109c5d8f,2026-05-20 20:22:00,Nigeria,Samsung Galaxy A54,Android,Friend Referral
77f71814-f7ce-4a3e-8275-0fd172ef967b,2026-04-27 02:42:00,Nigeria,iPhone 13,iOS,Influencer
641e86cd-39cc-4f3b-87d3-5dac5a89b19c,2026-02-14 03:42:00,Nigeria,iPhone 13,iOS,Facebook Ads
84adefc3-57fe-4657-a921-06e310f7c3c1,2026-01-21 10:38:00,Nigeria,iPhone 15,iOS,Google Ads
b88563d6-5cc7-46ae-b62b-bae44dd0460f,2026-01-05 14:58:00,Nigeria,Tecno Camon 20,Android,Instagram
2c37e134-0009-4f17-8028-94736a298eb1,2026-02-13 02:32:00,Kenya,Samsung Galaxy S22,Android,Google Ads
883eaf38-05a3-4386-b032-6dcc6329315c,2026-03-02 03:09:00,Ghana,iPhone 15,iOS,Facebook Ads
67da8f08-b66b-430f-b4a7-cbd959716813,2026-02-15 20:31:00,Ghana,Infinix Hot 30,Android,Organic
85d190db-c82c-44a4-8cc2-4198e36c5af8,2026-05-25 20:40:00,Kenya,Redmi Note 12,Android,Instagram
fdf1550d-63ed-473e-a186-dec3da2a3fae,2026-03-14 12:26:00,Ghana,iPhone 13,iOS,Influencer
485b3d9f-0978-4a72-a0c4-72644c514c33,2026-06-27 19:51:00,Nigeria,Infinix Hot 30,Android,Influencer
e0875a2e-82d6-4118-8cf3-2b351976a779,2026-02-19 11:43:00,Kenya,Infinix Hot 30,Android,Friend Referral
2eab138d-ef2e-4999-9ae1-9252d4b86262,2026-05-13 08:51:00,Nigeria,Tecno Camon 20,Android,Influencer
78f8d31e-999e-420d-803d-5d5f6a8f2383,2026-05-20 09:20:00,Nigeria,Redmi Note 12,Android,Google Ads
caaf253d-f313-4b6a-a35f-4783fbee0af8,2026-03-13 07:07:00,Nigeria,iPhone 15,iOS,Influencer
